"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"AdaptFit","AdaptFit","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2-2",NA,"SemiPar, MASS, nlme, cluster",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"AdaptFitOS","AdaptFitOS","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.62",NA,"nlme, MASS, splines","mgcv, SemiPar",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"AdaptGauss","AdaptGauss","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.0",NA,"R (>= 2.10)","shiny, caTools, mclust, methods",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"AdaptiveSparsity","AdaptiveSparsity","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.4",NA,"R (>= 3.0.2), Rcpp (>= 0.8.0)",NA,"Rcpp, RcppArmadillo (>= 0.2.0)","MASS, Matrix",NA,"LGPL (>= 3.0)",NA,NA,NA,NA,"yes","3.2.4"
"adaptivetau","adaptivetau","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.2",NA,"R (>= 2.10.1)",NA,NA,NA,"compiler","GPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"adaptMCMC","adaptMCMC","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"R (>= 2.14.1), parallel, coda, Matrix",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"adaptTest","adaptTest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"lattice",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"addhaz","addhaz","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3",NA,"R (>= 3.1.0), stats, boot (>= 1.3-17), Matrix (>= 1.2-3), MASS",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"addhazard","addhazard","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.0",NA,"R (>= 3.1.2)","ahaz, survival, rootSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"additivityTests","additivityTests","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1-4",NA,NA,NA,NA,"knitr",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"addreg","addreg","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0",NA,"R (>= 3.0.1)","splines, combinat, glm2",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ADDT","ADDT","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"ade4","ade4","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.7-4",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils",NA,"ade4TkGUI, adegraphics, ape, CircStats, deldir, lattice,
maptools, MASS, pixmap, sp, spdep, splancs, waveslim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"ade4TkGUI","ade4TkGUI","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2-9",NA,"ade4 (>= 1.4-3), adegraphics","graphics, grDevices, lattice, stats, tcltk, tkrplot, utils",NA,"pixmap",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"adegenet","adegenet","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0.1",NA,"R (>= 2.14), methods, ade4","utils, stats, grDevices, MASS, igraph, ape, shiny, ggplot2,
seqinr, parallel, spdep, boot, reshape2, dplyr (>= 0.4.1),
vegan",NA,"pegas, hierfstat, akima, maps, splancs, adehabitat, tripack,
testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"adegraphics","adegraphics","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-5",NA,"R (>= 3.0.2)","ade4, graphics, grid, KernSmooth, lattice, methods,
RColorBrewer, sp (>= 1.1-1), stats",NA,"Guerry, knitr, maptools, pixmap, rmarkdown, spdep, splancs",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"adehabitat","adehabitat","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.8.18",NA,"R (>= 2.10.0), ade4, tkrplot, shapefiles, sp, graphics","grDevices, methods, stats, utils",NA,"spatstat, MASS, CircStats",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"adehabitatHR","adehabitatHR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.4.14",NA,"R (>= 3.0.1), sp, methods, deldir, ade4, adehabitatMA,
adehabitatLT","graphics, grDevices, stats",NA,"maptools, tkrplot, MASS, rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"adehabitatHS","adehabitatHS","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3.12",NA,"R (>= 3.0.1), sp, methods, ade4, adehabitatMA, adehabitatHR","graphics, grDevices, stats",NA,"maptools, tkrplot, MASS, rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"adehabitatLT","adehabitatLT","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3.20",NA,"R (>= 2.10.0), sp, methods, ade4, adehabitatMA, CircStats,
stats","graphics, grDevices, utils",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"adehabitatMA","adehabitatMA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3.10",NA,"R (>= 2.10.0), sp, methods","utils, graphics, grDevices, stats",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"AdequacyModel","AdequacyModel","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.8",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ADGofTest","ADGofTest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.2.4"
"adhoc","adhoc","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.15), spider, ape, polynom",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"adimpro","adimpro","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.7.8",NA,"R (>= 2.12.0), grDevices",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"adlift","adlift","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3-2",NA,"EbayesThresh",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.2.4"
"ADM3","ADM3","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3",NA,"",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"AdMit","AdMit","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0.1",NA,"mvtnorm",NA,NA,"coda",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"ADMMnet","ADMMnet","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"Matrix (>= 1.2-3)","Rcpp (>= 0.12.2)","Rcpp, RcppEigen",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"ADPclust","ADPclust","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6.5",NA,"R (>= 3.0.0),","dplyr, cluster, fields, knitr",NA,"rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ads","ads","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5-2.2",NA,NA,"ade4, spatstat",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"adwave","adwave","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"waveslim",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"AEDForecasting","AEDForecasting","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.10.0",NA,"R (>= 3.1.2)","changepoint, forecast, signal",NA,"R.rsp",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"aemo","aemo","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.0",NA,"R (>= 3.1.0)","dplyr (>= 0.2), stringr (>= 0.6.2), assertthat (>= 0.1),
lubridate (>= 1.3.3)",NA,"testthat, httr (>= 0.3)",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"AER","AER","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2-4",NA,"R (>= 2.13.0), car (>= 2.0-1), lmtest, sandwich, survival (>=
2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, foreign, ineq, KernSmooth, lattice,
MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, ROCR,
sampleSelection, scatterplot3d, strucchange, systemfit, rgl,
truncreg, tseries, urca",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.2.4"
"AF","AF","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.2",NA,"stats, base, graphics, survival, drgee, R (>= 3.0.0),
data.table",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.2.4"
"afex","afex","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.15-2",NA,"R (>= 3.0.0), lme4 (>= 1.0.5), reshape2, lsmeans (>= 2.17)","stringr, coin, Matrix, pbkrtest (>= 0.3-6), car, stats, utils,
methods",NA,"ascii, xtable, parallel, plyr, optimx, nloptr, knitr,
lattice, multcomp, testthat, mlmRev, dplyr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"AFLPsim","AFLPsim","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.4-2",NA,"R (>= 2.15.0)","adegenet, introgress",NA,"R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"aftgee","aftgee","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-0",NA,NA,"MASS, BB, survival, geepack",NA,"copula",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"AGD","AGD","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.35",NA,"R (>= 2.10.0)","gamlss, gamlss.dist",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.2.4"
"AggregateR","AggregateR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.0.2",NA,NA,"dummy, stats, utils, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"agop","agop","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1-4",NA,"R (>= 2.12.0), stats, grDevices, graphics, Matrix, igraph",NA,NA,NA,NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"Agreement","Agreement","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.8-1",NA,"R (>= 2.1.0), R2HTML",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"agricolae","agricolae","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2-3",NA,NA,"klaR, MASS, nlme, cluster, spdep, AlgDesign, graphics",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.2.4"
"agridat","agridat","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.12",NA,NA,"graphics, grDevices, grid, lattice, reshape2, stats",NA,"AER, agricolae (>= 1.2), betareg, car, coin, corrgram,
effects, equivalence, FrF2, gam, gstat, HH, knitr,
latticeExtra, lme4 (>= 1.1-5), lucid, mapproj, maps, MASS,
MCMCglmm, mgcv, nlme, ordinal, pls, pscl, qtl, sp, survival,
vcd",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"agrmt","agrmt","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.39.3",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"AGSDest","AGSDest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.3",NA,NA,"stats, graphics, grDevices, ldbounds",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"agsemisc","agsemisc","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3-1",NA,"R (>= 2.12.0), lattice","grid, MASS",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"ahaz","ahaz","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.14",NA,"R (>= 2.10), survival, Matrix",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"ahp","ahp","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2.8",NA,"R (>= 3.2.0)","utils, data.tree, yaml, formattable, DiagrammeR",NA,"shiny, shinyAce, shinythemes, shinyjs, testthat, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"AHR","AHR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3",NA,"survival","stats, MASS, etm, Rcpp","Rcpp, RcppArmadillo","testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"AICcmodavg","AICcmodavg","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0-4",NA,"R (>= 3.0.0)","methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4,
survival, unmarked, VGAM, xtable",NA,"betareg, coxme, fitdistrplus, lavaan, lme4, maxlike, nnet,
ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"AID","AID","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5",NA,"R (>= 3.1.1)","MASS, tseries, nortest",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"aidar","aidar","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.0",NA,"XML",NA,NA,"testthat",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"AIM","AIM","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.01",NA,"survival","survival",NA,NA,NA,"LGPL-2",NA,NA,NA,NA,NA,"3.2.4"
"Ake","Ake","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"akima","akima","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.5-12",NA,"R (>= 2.0.0)","sp",NA,NA,NA,"ACM | file LICENSE",NA,"yes",NA,NA,"yes","3.2.4"
"akmeans","akmeans","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"alabama","alabama","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2015.3-1",NA,"R (>= 2.10.1), numDeriv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"alakazam","alakazam","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2.3",NA,"R (>= 3.1.2), ggplot2 (>= 2.0.0)","dplyr, graphics, grid, igraph (>= 1.0.0), lazyeval, methods,
scales, seqinr, stats, stringi, utils",NA,"knitr, rmarkdown, testthat",NA,"CC BY-NC-SA 4.0",NA,NA,NA,NA,"no","3.2.4"
"ald","ald","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ALDqr","ALDqr","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.5",NA,"R (>= 2.15.0)","HyperbolicDist",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","3.2.4"
